movie_id,title,year,genre,country,tomatometer,audience_score,critics_consensus
100000,Hidden Truths: The Beginning,2013,Horror,Spain,85,95,A well-crafted experience that mostly lands.
100001,Iron Heart 2,2000,Thriller,Australia,93,82,Visually stunning and emotionally gripping.
100002,Return of The Last Samurai Rising,2009,Drama,USA,30,22,A disappointing mess that fails to find its footing.
100003,The Legend of The Pearl Diver,2000,Comedy,USA,88,89,Solid performances and a compelling narrative.
100004,Escape from Desert Rose,2019,Thriller,Australia,12,21,Better left for late-night cable TV.
100005,Cosmic Drift (2005),2013,Romance,Germany,84,76,Solid performances and a compelling narrative.
100006,Forgotten Memories (2006),2000,Drama,Australia,26,16,Better left for late-night cable TV.
100007,Mountain Peak High (2007),2011,Horror,Australia,49,45,A disappointing mess that fails to find its footing.
100008,Starship Avalon (2008),2018,Animation,Spain,69,57,A decent effort with some flashes of brilliance.
100009,The Pearl Diver (2009),2010,Drama,Australia,41,54,Better left for late-night cable TV.
100010,The Urban Jungle: The Beginning,2023,Animation,USA,23,27,Visually dull and narratively confusing.
100011,The Last Samurai Rising 2,2008,Drama,Canada,64,65,A decent effort with some flashes of brilliance.
100012,Return of Mountain Peak High,2016,Action,USA,16,30,Better left for late-night cable TV.
100013,The Legend of Cosmic Drift,2003,Animation,Australia,14,19,Visually dull and narratively confusing.
100014,Escape from Bronze Age Chronicles,2020,Action,Japan,66,74,A decent effort with some flashes of brilliance.
100015,Desert Rose (2015),2004,Documentary,Canada,64,56,Ambitious but struggles with pacing.
100016,Eternal Sands (2016),2016,Drama,UK,45,43,A disappointing mess that fails to find its footing.
100017,The Ghost Ship (2017),2014,Animation,France,17,5,A disappointing mess that fails to find its footing.
100018,Iron Heart (2018),2005,Romance,Australia,18,27,Visually dull and narratively confusing.
100019,Deep Sea Secret (2019),2010,Comedy,India,15,5,A disappointing mess that fails to find its footing.
100020,The Last Samurai Rising: The Beginning,2016,Comedy,France,76,70,A well-crafted experience that mostly lands.
100021,The Urban Jungle 2,2017,Horror,USA,47,50,Visually dull and narratively confusing.
100022,Return of Velocity Zero,2005,Comedy,Spain,75,77,"Enjoyable, though slightly predictable at times."
100023,The Legend of Golden Empire,2005,Drama,UK,78,78,"Enjoyable, though slightly predictable at times."
100024,Escape from Hidden Truths,2021,Animation,Germany,89,88,"Enjoyable, though slightly predictable at times."
100025,Midnight in Kyoto (2000),2009,Animation,Germany,100,100,Visually stunning and emotionally gripping.
100026,Golden Empire (2001),2012,Thriller,Australia,48,34,Better left for late-night cable TV.
